Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating,Path
Shantaram,(2022),"Action,Adventure,Crime","A heroin addict incarcerated for a robbery escapes prison and reinvents himself as a doctor in the slums of Bombay; his ties to the crime underworld there lead him to Afghanistan, where he ...                See full summary »
","https://m.media-amazon.com/images/M/MV5BMjU0ZmU1NTItNmRjNS00MjRkLWE0MDctYWMyNDY0YTA3ZDc4XkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",429087,https://www.imdb.com/title/tt0429087/,52 min,A,"10,473",7.5,Posters/429087.jpg
Reservoir Dogs,(1992),"Crime,Thriller","When a simple jewelry heist goes horribly wrong, the surviving criminals begin to suspect that one of them is a police informant.","https://m.media-amazon.com/images/M/MV5BZmExNmEwYWItYmQzOS00YjA5LTk2MjktZjEyZDE1Y2QxNjA1XkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX280_CR0,3,280,414_.jpg",105236,https://www.imdb.com/title/tt0105236/,99 min,15+,"1,024,318",8.3,Posters/105236.jpg
Pretty Little Liars,(2010–2017),"Drama,Mystery,Romance","Four friends band together against an anonymous foe who threatens to reveal their darkest secrets, while also investigating the disappearance of their best friend.","https://m.media-amazon.com/images/M/MV5BMTU5MDYzMzQ2Nl5BMl5BanBnXkFtZTgwMDE3MzU4MTI@._V1_QL75_UX280_CR0,3,280,414_.jpg",1578873,https://www.imdb.com/title/tt1578873/,44 min,A,"169,361",7.4,Posters/1578873.jpg
Gangs of London,(2020– ),"Action,Crime,Drama",Tells the story of London being torn apart by the turbulent power struggles of its international gangs and the sudden power vacuum that's created when the head of London's most powerful crime family is assassinated.,"https://m.media-amazon.com/images/M/MV5BOGJlZTE0MTQtZDdmMS00YWViLThlMDktYzk1N2RhMjY0NGEyXkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_QL75_UX280_CR0,3,280,414_.jpg",7661390,https://www.imdb.com/title/tt7661390/,60 min,A,"34,688",8.1,Posters/7661390.jpg
Hacksaw Ridge,(2016),"Biography,Drama,History","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor without firing a shot.","https://m.media-amazon.com/images/M/MV5BMjQ1NjM3MTUxNV5BMl5BanBnXkFtZTgwMDc5MTY5OTE@._V1_QL75_UX280_CR0,3,280,414_.jpg",2119532,https://www.imdb.com/title/tt2119532/,139 min,A,"532,137",8.1,Posters/2119532.jpg
Her,(2013),"Drama,Romance,Sci-Fi","In a near future, a lonely writer develops an unlikely relationship with an operating system designed to meet his every need.","https://m.media-amazon.com/images/M/MV5BMjA1Nzk0OTM2OF5BMl5BanBnXkFtZTgwNjU2NjEwMDE@._V1_QL75_UX280_CR0,3,280,414_.jpg",1798709,https://www.imdb.com/title/tt1798709/,126 min,A,"619,892",8.0,Posters/1798709.jpg
Thunivu,(2023),"Action,Adventure,Thriller",A mysterious mastermind - Daredevil and his team forms a plan and commits bank heist to find the corporate looted people's money.,"https://m.media-amazon.com/images/M/MV5BYmZmNTdjOWMtN2ZjYS00ODI3LTk2ZTItYWFiYmE5NzgyYmE5XkEyXkFqcGdeQXVyMTMxODA4Njgx._V1_QL75_UX280_CR0,3,280,414_.jpg",15163652,https://www.imdb.com/title/tt15163652/,145 min,UA,"21,988",6.9,Posters/15163652.jpg
Foundation,(2021– ),"Drama,Sci-Fi",A complex saga of humans scattered on planets throughout the galaxy all living under the rule of the Galactic Empire.,"https://m.media-amazon.com/images/M/MV5BMTE5MDY1MGUtMmMxNi00YjA3LWIyZTYtN2FhOWJmNTY2NmM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",804484,https://www.imdb.com/title/tt0804484/,60 min,U/A 16+,"61,347",7.4,Posters/804484.jpg
The Punisher,(2017–2019),"Action,Crime,Drama","After his revenge on those who murdered his family, aimless Marine veteran Frank Castle finds a new meaning in life as a vigilante known as ""The Punisher"".","https://m.media-amazon.com/images/M/MV5BNjJhZDZhNWYtMjdhYS00NjkyLWE5NzItMzljNmQ3NGE4MGZjXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX280_CR0,3,280,414_.jpg",5675620,https://www.imdb.com/title/tt5675620/,53 min,A,"239,731",8.5,Posters/5675620.jpg
Troy,(2004),Drama,"An adaptation of Homer's great epic, the film follows the assault on Troy by the united Greek forces and chronicles the fates of the men involved.","https://m.media-amazon.com/images/M/MV5BMTk5MzU1MDMwMF5BMl5BanBnXkFtZTcwNjczODMzMw@@._V1_QL75_UX280_CR0,3,280,414_.jpg",332452,https://www.imdb.com/title/tt0332452/,163 min,UA,"540,112",7.3,Posters/332452.jpg
Eternals,(2021),"Action,Adventure,Fantasy","The saga of the Eternals, a race of immortal beings who lived on Earth and shaped its history and civilizations.","https://m.media-amazon.com/images/M/MV5BY2Y1ODBhYTItYmJiZi00NjU2LWI2NjktNTcwM2U2NGQ2ZTNiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",9032400,https://www.imdb.com/title/tt9032400/,156 min,UA,"345,405",6.3,Posters/9032400.jpg
Jennifer's Body,(2009),"Comedy,Horror",A newly-possessed high-school cheerleader turns into a succubus who specializes in killing her male classmates. Can her best friend put an end to the horror?,"https://m.media-amazon.com/images/M/MV5BMTMxNzYwMjc1Ml5BMl5BanBnXkFtZTcwNDI3MDE3Mg@@._V1_QL75_UX280_CR0,3,280,414_.jpg",1131734,https://www.imdb.com/title/tt1131734/,102 min,A,"138,114",5.4,Posters/1131734.jpg
"Three Billboards Outside Ebbing, Missouri",(2017),"Comedy,Crime,Drama",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"https://m.media-amazon.com/images/M/MV5BMjI0ODcxNzM1N15BMl5BanBnXkFtZTgwMzIwMTEwNDI@._V1_QL75_UX280_CR0,3,280,414_.jpg",5027774,https://www.imdb.com/title/tt5027774/,115 min,A,"513,072",8.1,Posters/5027774.jpg
Disenchanted,(2022),"Animation,Adventure,Comedy","Fifteen years after her happily ever after, Giselle questions her happiness, inadvertently turning the lives of those in the real world and Andalasia upside down in the process.","https://m.media-amazon.com/images/M/MV5BNDVhYjU1ZjUtNzI3Ni00Mzg5LWJhNGYtMjE3Y2FlZWY2Y2Y2XkEyXkFqcGdeQXVyMTUzMTg2ODkz._V1_QL75_UX280_CR0,3,280,414_.jpg",1596342,https://www.imdb.com/title/tt1596342/,119 min,UA 7+,"20,209",5.6,Posters/1596342.jpg
The O.C.,(2003–2007),"Comedy,Drama,Romance","A troubled youth becomes embroiled in the lives of a close-knit group of people in the wealthy, upper-class neighborhood of Newport Beach, Orange County, California.","https://m.media-amazon.com/images/M/MV5BMWIzZTA0ZDYtOGZiNS00MDRiLWJkNzMtN2RiMzVmMjZjYTJiXkEyXkFqcGdeQXVyODIxOTMwMjk@._V1_QL75_UX280_CR0,3,280,414_.jpg",362359,https://www.imdb.com/title/tt0362359/,44 min,18,"90,972",7.5,Posters/362359.jpg
Charmed,(1998–2006),"Drama,Fantasy,Mystery","Three sisters discover their destiny, to battle against the forces of evil, using their witchcraft. They are the Charmed Ones.","https://m.media-amazon.com/images/M/MV5BNTIxNmUxMWQtNjc0Yy00NjM2LWFjMTMtNjA2MmEzOTFiMWRmXkEyXkFqcGdeQXVyNzA5NjUyNjM@._V1_QL75_UX280_CR0,3,280,414_.jpg",158552,https://www.imdb.com/title/tt0158552/,42 min,U,"85,350",7.1,Posters/158552.jpg
Miraculous: Tales of Ladybug & Cat Noir,(2015– ),"Animation,Action,Adventure","Marinette and Adrien, two normal teens, transform into superheroes Ladybug and Cat Noir when an evil threatens their city.","https://m.media-amazon.com/images/M/MV5BZWExMThlOTUtYTA4ZC00NmEzLWE0NDktNmNjZGE3MDdkOTRhXkEyXkFqcGdeQXVyOTE4NzcwNzI@._V1_QL75_UX280_CR0,3,280,414_.jpg",2580046,https://www.imdb.com/title/tt2580046/,20 min,7,"12,151",7.6,Posters/2580046.jpg
American Hustle,(2013),"Crime,Drama","A con man, Irving Rosenfeld, along with his seductive partner Sydney Prosser, is forced to work for a wild F.B.I. Agent, Richie DiMaso, who pushes them into a world of Jersey powerbrokers and the Mafia.","https://m.media-amazon.com/images/M/MV5BMmM4YzJjZGMtNjQxMy00NjdlLWJjYTItZWZkYzdhOTdhNzFiXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_QL75_UX280_CR0,3,280,414_.jpg",1800241,https://www.imdb.com/title/tt1800241/,138 min,A,"482,782",7.2,Posters/1800241.jpg
Shadow and Bone,(2021– ),"Action,Adventure,Drama",Dark forces conspire against orphan mapmaker Alina Starkov when she unleashes an extraordinary power that could change the fate of her war-torn world.,"https://m.media-amazon.com/images/M/MV5BNTNhY2JlMmItMGMzZi00ZTM2LTlmNTItZDBkMGVhNGJhYWRhXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX280_CR0,3,280,414_.jpg",2403776,https://www.imdb.com/title/tt2403776/,60 min,16,"87,593",7.6,Posters/2403776.jpg
Ambulance,(2022),"Action,Crime,Drama",Two robbers steal an ambulance after their heist goes awry.,"https://m.media-amazon.com/images/M/MV5BYjUyN2VlZGEtNGEyZC00YjViLTgwYmQtZDJiM2FlOTU3Mjg2XkEyXkFqcGdeQXVyMjMxOTE0ODA@._V1_QL75_UX280_CR0,3,280,414_.jpg",4998632,https://www.imdb.com/title/tt4998632/,136 min,UA,"76,144",6.1,Posters/4998632.jpg
Walker,(2021– ),"Action,Crime,Drama","A widowed father returns to Austin after one year, attempting to reconnect with his children, navigate clashes with his family, and find common ground with his new partner, while growing increasingly suspicious of his wife's death.","https://m.media-amazon.com/images/M/MV5BNjM5ODI1NjItNjZhOC00ZTliLThiODMtMDg3YWM5YzljZWVkXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX280_CR0,3,280,414_.jpg",11006642,https://www.imdb.com/title/tt11006642/,42 min,13,"12,568",6.1,Posters/11006642.jpg
Grimm,(2011–2017),"Crime,Drama,Fantasy",A homicide detective discovers he is a descendant of hunters who fight supernatural forces.,"https://m.media-amazon.com/images/M/MV5BMTkyODg2MzQwMV5BMl5BanBnXkFtZTgwNTA2MjE1MDI@._V1_QL75_UX280_CR0,3,280,414_.jpg",1830617,https://www.imdb.com/title/tt1830617/,45 min,16,"121,769",7.9,Posters/1830617.jpg
Eternal Sunshine of the Spotless Mind,(2004),"Drama,Romance,Sci-Fi","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.","https://m.media-amazon.com/images/M/MV5BMTY4NzcwODg3Nl5BMl5BanBnXkFtZTcwNTEwOTMyMw@@._V1_QL75_UX280_CR0,3,280,414_.jpg",338013,https://www.imdb.com/title/tt0338013/,108 min,UA,"1,013,571",8.3,Posters/338013.jpg
Eyes Wide Shut,(1999),"Drama,Mystery,Thriller","A Manhattan doctor embarks on a bizarre, night-long odyssey after his wife's admission of unfulfilled longing.","https://m.media-amazon.com/images/M/MV5BYzMzZjcyNzEtZjE2OC00Yjk3LWExOGItODdhNzhkZTdmM2M0XkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX280_CR0,3,280,414_.jpg",120663,https://www.imdb.com/title/tt0120663/,159 min,18,"347,126",7.5,Posters/120663.jpg
Ready or Not,(I) (2019),"Action,Comedy,Horror",A bride's wedding night takes a sinister turn when her eccentric new in-laws force her to take part in a terrifying game.,"https://m.media-amazon.com/images/M/MV5BYzBkMzAyMDUtZTFkZS00OWUyLTgwM2ItNGI3MTQ5NzA3NTVkXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",7798634,https://www.imdb.com/title/tt7798634/,95 min,A,"156,037",6.8,Posters/7798634.jpg
The Dreamers,(2003),"Drama,Romance",A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.,"https://m.media-amazon.com/images/M/MV5BN2JlNDM0YjQtNjg3NC00MWY0LTk0MmMtMTVkMmU0MDQ4MGMzXkEyXkFqcGdeQXVyMjUzOTY1NTc@._V1_QL75_UX280_CR0,3,280,414_.jpg",309987,https://www.imdb.com/title/tt0309987/,115 min,A,"123,866",7.1,Posters/309987.jpg
Animal Kingdom,(2016–2022),"Crime,Drama","Centers on a Southern California family, whose excessive lifestyle is fueled by their criminal activities.","https://m.media-amazon.com/images/M/MV5BMmMxMmRiODItYTg5NS00ZWU0LTlhMmYtNDQ1NjFlNGZmYjNiXkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX280_CR0,3,280,414_.jpg",5574490,https://www.imdb.com/title/tt5574490/,60 min,18,"39,693",8.2,Posters/5574490.jpg
Little Women,(2019),"Drama,Romance","Jo March reflects back and forth on her life, telling the beloved story of the March sisters - four young women, each determined to live life on her own terms.","https://m.media-amazon.com/images/M/MV5BY2QzYTQyYzItMzAwYi00YjZlLThjNTUtNzMyMDdkYzJiNWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",3281548,https://www.imdb.com/title/tt3281548/,135 min,U,"210,163",7.8,Posters/3281548.jpg
CODA,(2021),"Comedy,Drama,Music","As a CODA (Child of Deaf Adults) Ruby is the only hearing person in her deaf family. When the family's fishing business is threatened, Ruby finds herself torn between pursuing her passion at Berklee College of Music and her fear of abandoning her parents.","https://m.media-amazon.com/images/M/MV5BYzkyNzNiMDItMGU1Yy00NmEyLWE4N2ItMjkzMDZmMmVhNDU4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",10366460,https://www.imdb.com/title/tt10366460/,111 min,A,"136,657",8.0,Posters/10366460.jpg
Free Guy,(2021),"Action,Adventure,Comedy","A bank teller discovers that he's actually an NPC inside a brutal, open world video game.","https://m.media-amazon.com/images/M/MV5BOTY2NzFjODctOWUzMC00MGZhLTlhNjMtM2Y2ODBiNGY1ZWRiXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",6264654,https://www.imdb.com/title/tt6264654/,115 min,UA,"375,166",7.1,Posters/6264654.jpg
Mission: Impossible,(1996),"Action,Adventure,Thriller","An American agent, under false suspicion of disloyalty, must discover and expose the real spy without the help of his organization.","https://m.media-amazon.com/images/M/MV5BMTc3NjI2MjU0Nl5BMl5BanBnXkFtZTgwNDk3ODYxMTE@._V1_QL75_UX280_CR0,3,280,414_.jpg",117060,https://www.imdb.com/title/tt0117060/,110 min,U,"431,392",7.1,Posters/117060.jpg
Crimes of the Future,(2022),"Drama,Horror,Sci-Fi","Humans adapt to a synthetic environment, with new transformations and mutations. With his partner Caprice, Saul Tenser, celebrity performance artist, publicly showcases the metamorphosis of his organs in avant-garde performances.","https://m.media-amazon.com/images/M/MV5BZDdjODNkMmYtYjMwNS00NTQzLThlYjUtODY2ZjdjNTNlY2JiXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",14549466,https://www.imdb.com/title/tt14549466/,107 min,R,"30,505",5.9,Posters/14549466.jpg
Soft & Quiet,(2022),"Drama,Horror,Mystery","Playing out in real time, an elementary school teacher organizes a mixer of like-minded women, when she encounters a woman from her past, leading to a volatile chain of events.","https://m.media-amazon.com/images/M/MV5BYTQ4MDVmODUtZDA5ZC00ZDE5LTgwN2ItOTQ5YzBlOTcwMTRhXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_QL75_UX280_CR0,3,280,414_.jpg",14557188,https://www.imdb.com/title/tt14557188/,91 min,R,"2,591",6.3,Posters/14557188.jpg
Big Little Lies,(2017–2019),"Crime,Drama,Mystery",The apparently-perfect lives of upper-class mothers of students at a prestigious elementary school unravel to the point of murder when a single mother moves to their quaint California beach town.,"https://m.media-amazon.com/images/M/MV5BNDc2MDE3NzkyNF5BMl5BanBnXkFtZTgwOTI0ODAxMTI@._V1_QL75_UX280_CR0,3,280,414_.jpg",3920596,https://www.imdb.com/title/tt3920596/,60 min,15+,"202,889",8.5,Posters/3920596.jpg
House of Cards,(2013–2018),Drama,A Congressman works with his equally conniving wife to exact revenge on the people who betrayed him.,"https://m.media-amazon.com/images/M/MV5BNmM4ODU1MzItODYyYi00Y2U0LWFjZjItYTRhZWIwOGMyZTRhXkEyXkFqcGdeQXVyNjc2NTQ4Nzk@._V1_QL75_UX280_CR0,3,280,414_.jpg",1856010,https://www.imdb.com/title/tt1856010/,51 min,16+,"507,642",8.7,Posters/1856010.jpg
The Mosquito Coast,(2021–2023),"Adventure,Drama,Thriller","Follows the dangerous journey of a radical idealist and brilliant inventor, Allie Fox, who uproots his family for Mexico when they suddenly find themselves on the run from the US government.","https://m.media-amazon.com/images/M/MV5BYjg2YTFjMzAtNTU1My00MWY2LTg4OGEtNmE5YjFhZjY2ZDlmXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",11041132,https://www.imdb.com/title/tt11041132/,60 min,A,"13,568",6.9,Posters/11041132.jpg
Twilight,(I) (2008),"Drama,Fantasy,Romance","When Bella Swan moves to a small town in the Pacific Northwest, she falls in love with Edward Cullen, a mysterious classmate who reveals himself to be a 108-year-old vampire.","https://m.media-amazon.com/images/M/MV5BMTQ2NzUxMTAxN15BMl5BanBnXkFtZTcwMzEyMTIwMg@@._V1_QL75_UX280_CR0,3,280,414_.jpg",1099212,https://www.imdb.com/title/tt1099212/,122 min,UA,"466,201",5.3,Posters/1099212.jpg
Superstore,(2015–2021),Comedy,A look at the lives of employees at a big box store.,"https://m.media-amazon.com/images/M/MV5BNzM2OWM1MTUtNmNhYy00ZDJlLTgyYWQtOWY3ZmVjYjNiN2U4XkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_QL75_UX280_CR0,3,280,414_.jpg",4477976,https://www.imdb.com/title/tt4477976/,22 min,13,"59,885",7.8,Posters/4477976.jpg
The Outfit,(2022),"Crime,Drama,Mystery",An expert cutter must outwit a dangerous group of mobsters in order to survive a fateful night.,"https://m.media-amazon.com/images/M/MV5BYWQ0NWUyMjktYjg4Yy00NmY3LTg2YzEtNWY5OTY5YTc2MjhjXkEyXkFqcGdeQXVyMTA2MDU0NjM5._V1_QL75_UX280_CR0,3,280,414_.jpg",14114802,https://www.imdb.com/title/tt14114802/,105 min,R,"45,896",7.1,Posters/14114802.jpg
Old,(2021),"Drama,Horror,Mystery","A vacationing family discovers that the secluded beach where they're relaxing for a few hours is somehow causing them to age rapidly, reducing their entire lives into a single day.","https://m.media-amazon.com/images/M/MV5BMjJjZGRhM2YtNTU4NC00OWMwLThhYWUtMWUxNDNhMDZlOTNmXkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_QL75_UX280_CR0,3,280,414_.jpg",10954652,https://www.imdb.com/title/tt10954652/,108 min,UA,"123,529",5.8,Posters/10954652.jpg
Fleabag,(2016–2019),"Comedy,Drama",A comedy series adapted from the award-winning play about a young woman trying to cope with life in London whilst coming to terms with a recent tragedy.,"https://m.media-amazon.com/images/M/MV5BMjA4MzU5NzQxNV5BMl5BanBnXkFtZTgwOTg3MDA5NzM@._V1_QL75_UX280_CR0,3,280,414_.jpg",5687612,https://www.imdb.com/title/tt5687612/,27 min,18+,"162,420",8.7,Posters/5687612.jpg
Wrath of Man,(2021),"Action,Crime,Thriller",A cold and mysterious character working at a cash truck company responsible for moving a lot of money around Los Angeles each week.,"https://m.media-amazon.com/images/M/MV5BNGVkOTlhOTktNjZiNS00NDg3LWIxMDAtZTY5Y2E0YjllN2IxXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",11083552,https://www.imdb.com/title/tt11083552/,119 min,16,"181,640",7.1,Posters/11083552.jpg
Pinocchio,(2022),"Adventure,Comedy,Drama","A puppet is brought to life by a fairy, who assigns him to lead a virtuous life in order to become a real boy.","https://m.media-amazon.com/images/M/MV5BZDIyYjM3N2EtOTU1MC00YTA4LTgzNjctMTNjODcxZTZhODU2XkEyXkFqcGdeQXVyMTM1MTE1NDMx._V1_QL75_UX280_CR0,3,280,414_.jpg",4593060,https://www.imdb.com/title/tt4593060/,105 min,U,"36,028",5.1,Posters/4593060.jpg
Star Trek: Voyager,(1995–2001),"Action,Adventure,Sci-Fi","Pulled to the far side of the galaxy, where the Federation is seventy-five years away at maximum warp speed, a Starfleet ship must cooperate with Maquis rebels to find a way home.","https://m.media-amazon.com/images/M/MV5BYWIwMTI4NzctZmNjZi00OGU2LThhMGItZDI0ODAwOWI1NTFlXkEyXkFqcGdeQXVyNTE1NjY5Mg@@._V1_QL75_UX280_CR0,3,280,414_.jpg",112178,https://www.imdb.com/title/tt0112178/,44 min,13,"70,528",7.8,Posters/112178.jpg
Tokyo Vice,(2022– ),"Crime,Drama,Thriller",A Western journalist working for a publication in Tokyo takes on one of the city's most powerful crime bosses.,"https://m.media-amazon.com/images/M/MV5BYWVhN2Q2MDEtMzIzYS00M2EwLTlmZDItMzk5YTUzZWE0MjkwXkEyXkFqcGdeQXVyMTEzMTI1Mjk3._V1_QL75_UX280_CR0,3,280,414_.jpg",2887954,https://www.imdb.com/title/tt2887954/,60 min,A,"29,686",8.0,Posters/2887954.jpg
Doc Martin,(2004–2022),"Comedy,Drama,Romance","The trials and tribulations of Martin Ellingham, a brilliant but socially challenged doctor who moves from London to the picturesque village of Port Wenn in Cornwall.","https://m.media-amazon.com/images/M/MV5BOWNmMTAxZTAtNzNhZS00MThhLWJmMmEtYWExZGUzODkxMmM0XkEyXkFqcGdeQXVyMjExMjk0ODk@._V1_QL75_UX280_CR0,3,280,414_.jpg",408381,https://www.imdb.com/title/tt0408381/,46 min,16,"17,450",8.4,Posters/408381.jpg
Split,(IX) (2016),"Horror,Thriller",Three girls are kidnapped by a man with a diagnosed 23 distinct personalities. They must try to escape before the apparent emergence of a frightful new 24th.,"https://m.media-amazon.com/images/M/MV5BZTJiNGM2NjItNDRiYy00ZjY0LTgwNTItZDBmZGRlODQ4YThkL2ltYWdlXkEyXkFqcGdeQXVyMjY5ODI4NDk@._V1_QL75_UX280_CR0,3,280,414_.jpg",4972582,https://www.imdb.com/title/tt4972582/,117 min,UA,"504,782",7.3,Posters/4972582.jpg
