Title,Release_Year,Genre,Synopsis,Poster_URL,Movie_ID,Movie_URL,Duration,Certification,Voters,Rating
The Blacklist,(2013–2023),"Crime,Drama,Mystery","A new FBI profiler, Elizabeth Keen, has her entire life uprooted when a mysterious criminal, Raymond Reddington, who has eluded capture for decades, turns himself in and insists on speaking only to her.","https://m.media-amazon.com/images/M/MV5BMTU1OTdjYTUtMzA2MS00Njg4LWI1NTctMWUzYzNkNmQ5YWY3XkEyXkFqcGdeQXVyMTUwMzM5ODkz._V1_QL75_UX280_CR0,3,280,414_.jpg",2741602,https://www.imdb.com/title/tt2741602/,43 min,16+,"265,622",8.0
The Walking Dead: Dead City,(2023– ),"Adventure,Horror,Thriller",Maggie and Negan travel into a post-apocalyptic Manhattan long ago cut off from the mainland. The city is filled with the dead and denizens who have made New York City their own world.,"https://m.media-amazon.com/images/M/MV5BMzczNjBlYmYtMjEwYi00MzJhLWFkOTUtNjViNzEzMGM5YWJmXkEyXkFqcGdeQXVyMTMzOTQyOTk1._V1_QL75_UX280_CR0,3,280,414_.jpg",18546730,https://www.imdb.com/title/tt18546730/,-,NA,"5,810",7.7
Guy Ritchie's The Covenant,(2023),"Action,Thriller,War","During the war in Afghanistan, a local interpreter risks his own life to carry an injured sergeant across miles of grueling terrain.","https://m.media-amazon.com/images/M/MV5BNmQzOWZhOTMtZTcxNC00MTdkLWEwYmUtOWVmOTFhNTdkNjRkXkEyXkFqcGdeQXVyODk2NDQ3MTA@._V1_QL75_UX280_CR0,3,280,414_.jpg",4873118,https://www.imdb.com/title/tt4873118/,123 min,R,"77,677",7.5
Bone Tomahawk,(2015),"Drama,Horror,Western","In the dying days of the old west, an elderly sheriff and his posse set out to rescue their town's doctor from cannibalistic cave dwellers.","https://m.media-amazon.com/images/M/MV5BMzQ0MzE4OTUzMF5BMl5BanBnXkFtZTgwODAyNzI3NjE@._V1_QL75_UX280_CR0,3,280,414_.jpg",2494362,https://www.imdb.com/title/tt2494362/,132 min,NA,"108,665",7.1
The Boys,(2019– ),"Action,Comedy,Crime",A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,"https://m.media-amazon.com/images/M/MV5BOTEyNDJhMDAtY2U5ZS00OTMzLTkwODktMjU3MjFkZWVlMGYyXkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX280_CR0,3,280,414_.jpg",1190634,https://www.imdb.com/title/tt1190634/,60 min,18+,"563,834",8.7
Transformers: Rise of the Beasts,(2023),"Action,Adventure,Sci-Fi","During the '90s, a new faction of Transformers - the Maximals - join the Autobots as allies in the battle for Earth.","https://m.media-amazon.com/images/M/MV5BZTNiNDA4NmMtNTExNi00YmViLWJkMDAtMDAxNmRjY2I2NDVjXkEyXkFqcGdeQXVyMDM2NDM2MQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",5090568,https://www.imdb.com/title/tt5090568/,127 min,UA,"35,130",6.5
Independence Day,(1996),"Action,Adventure,Sci-Fi","The aliens are coming and their goal is to invade and destroy Earth. Fighting superior technology, mankind's best weapon is the will to survive.","https://m.media-amazon.com/images/M/MV5BMGQwNDNkMmItYWY1Yy00YTZmLWE5OTAtODU0MGZmMzQ1NDdkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_QL75_UX280_CR0,3,280,414_.jpg",0116629,https://www.imdb.com/title/tt0116629/,145 min,UA,"589,353",7.0
The Little Mermaid,(I) (2023),"Adventure,Family,Fantasy",A young mermaid makes a deal with a sea witch to trade her beautiful voice for human legs so she can discover the world above water and impress a prince.,"https://m.media-amazon.com/images/M/MV5BYTUxYjczMWUtYzlkZC00NTcwLWE3ODQtN2I2YTIxOTU0ZTljXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",5971474,https://www.imdb.com/title/tt5971474/,135 min,U,"92,924",7.2
Joy Ride,(2023),Comedy,"Follows four Chinese-American friends as they bond and discover the truth of what it means to know and love who you are, while they travel through China in search of one of their birth mothers.","https://m.media-amazon.com/images/M/MV5BNjc3OTJhMzQtMjA0OC00YWViLThmMGUtMjcwOTFiYzRlMTA2XkEyXkFqcGdeQXVyODk4OTc3MTY@._V1_QL75_UX280_CR0,3,280,414_.jpg",15268244,https://www.imdb.com/title/tt15268244/,95 min,R,"2,660",7.0
And Just Like That...,(2021– ),"Comedy,Drama,Romance","The series follows Carrie, Miranda, and Charlotte as they navigate the journey from the complicated reality of life and friendship in their 30s to the even more complicated reality of life and friendship in their 50s.","https://m.media-amazon.com/images/M/MV5BZjFmOGUzMGYtMGYyMS00MzQyLTg2MGEtNzJjMjFlNDkyZGYxXkEyXkFqcGdeQXVyMTEyMjM2NDc2._V1_QL75_UX280_CR0,3,280,414_.jpg",13819960,https://www.imdb.com/title/tt13819960/,40 min,A,"31,543",5.7
Stranger Things,(2016–2024),"Drama,Fantasy,Horror","When a young boy disappears, his mother, a police chief and his friends must confront terrifying supernatural forces in order to get him back.","https://m.media-amazon.com/images/M/MV5BMDZkYmVhNjMtNWU4MC00MDQxLWE3MjYtZGMzZWI1ZjhlOWJmXkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",4574334,https://www.imdb.com/title/tt4574334/,51 min,15,"1,255,234",8.7
The Summer I Turned Pretty,(2022– ),"Drama,Romance","A love triangle between one girl and two brothers. A story about first love, first heartbreak, and the magic of that one perfect summer.","https://m.media-amazon.com/images/M/MV5BMjYyZTg2YTItY2ZkNy00NDZjLWJkMWYtZjIxYjE4N2YxNjQ1XkEyXkFqcGdeQXVyMjkwOTAyMDU@._V1_QL75_UX280_CR0,3,280,414_.jpg",14016500,https://www.imdb.com/title/tt14016500/,45 min,UA 16+,"25,802",7.4
The Super Mario Bros. Movie,(2023),"Animation,Adventure,Comedy","A plumber named Mario travels through an underground labyrinth with his brother, Luigi, trying to save a captured princess.","https://m.media-amazon.com/images/M/MV5BOTJhNzlmNzctNTU5Yy00N2YwLThhMjQtZDM0YjEzN2Y0ZjNhXkEyXkFqcGdeQXVyMTEwMTQ4MzU5._V1_QL75_UX280_CR0,3,280,414_.jpg",6718170,https://www.imdb.com/title/tt6718170/,92 min,U,"158,321",7.1
The Sopranos,(1999–2007),"Crime,Drama","New Jersey mob boss Tony Soprano deals with personal and professional issues in his home and business life that affect his mental state, leading him to seek professional psychiatric counseling.","https://m.media-amazon.com/images/M/MV5BZGJjYzhjYTYtMDBjYy00OWU1LTg5OTYtNmYwOTZmZjE3ZDdhXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_QL75_UX280_CR0,3,280,414_.jpg",0141842,https://www.imdb.com/title/tt0141842/,55 min,15+,"429,274",9.2
